
2021-05-10 08:10:01.258547 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 08:10:01.260982 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 08:20:01.397259 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 08:20:01.400950 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 08:30:01.528602 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 08:30:01.531823 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 08:40:01.675550 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-10 08:40:01.678447 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 08:50:01.825979 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-10 08:50:01.828677 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 09:00:01.984764 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-10 09:00:01.988393 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 09:10:01.133210 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 09:10:01.135872 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 09:20:01.328302 - Cantidad de registros ingresados: 6, tipo: FT
2021-05-10 09:20:01.331117 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 09:30:01.551123 - Cantidad de registros ingresados: 4, tipo: FT
2021-05-10 09:30:01.566272 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 09:40:01.724096 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-10 09:40:01.735285 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 09:50:01.924373 - Cantidad de registros ingresados: 8, tipo: FT
2021-05-10 09:50:01.933871 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 10:00:02.077686 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-10 10:00:02.090178 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 10:10:01.249747 - Cantidad de registros ingresados: 7, tipo: FT
2021-05-10 10:10:01.261452 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 10:20:01.439437 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-10 10:20:01.451334 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 10:30:01.638336 - Cantidad de registros ingresados: 9, tipo: FT
2021-05-10 10:30:01.641380 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 10:40:01.837643 - Cantidad de registros ingresados: 11, tipo: FT
2021-05-10 10:40:01.840217 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 10:50:02.008437 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-10 10:50:02.046894 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 11:00:01.233332 - Cantidad de registros ingresados: 9, tipo: FT
